symbol,start_ts,level_price,side,label,body_volume_slope,price_return_kurtosis,volume_autocorrelation,poc_to_level_dist,squeeze_ratio,taker_ratio,wall_size_usd,wall_eaten_pct,book_depth_behind,book_imbalance,box_width_pct,duration_mins,episode_touches,volume_trend,level_touches,tick_speed_accel,trade_size_entropy,buy_sell_clustering
ENJUSDT,1773960300000,0.02474909,support,REJECTED,-0.0019364669340604505,2.2044490888221713,0.4985036293344666,0.004481376891029076,0.47826086956521585,0.46646089711881733,221913.46972,-0.43515038885344715,1116836.36881,0.12581522895820507,0.03919,105.0,1,-0.066799,55,-0.2,2.3002670520728543,0.7985127478753541
ENJUSDT,1773968700000,0.02474909,resistance,BROKE,-0.025222266544628915,0.18179559386279154,0.1422373584738155,0.003152247745589516,1.319148936170223,0.4678908651551855,200215.90999,-0.2074011376303675,569012.05992,0.10202547284113048,0.02869,35.0,2,-0.127312,55,-1.0,1.5186446564056293,0.7916506431392692
ENJUSDT,1773973200000,0.02576692,resistance,REJECTED,-0.02176981354688205,2.1412914521561848,0.3507197836609061,-0.011421171837869136,0.5844155844155761,0.49711631442571735,200215.90999,0.0,569012.05992,0.10202547284113048,0.03338,55.0,2,-0.164835,26,-1.2,2.2449809374032954,0.7947854321645788
ENJUSDT,1773991800000,0.02474909,resistance,REJECTED,-0.01185412312696562,2.827488532591499,0.11275935337765504,-0.006024059874524721,1.0416666666666354,0.5021786990617513,169994.40871,-0.02305846001321621,444626.00653,0.057417312741381045,0.01859,55.0,1,-0.108742,55,-1.0,1.46877477825706,0.7625586958447772
ENJUSDT,1773998700000,0.02474909,support,REJECTED,0.00013713907315397633,1.9285250872348874,0.4373774469740267,0.0074373601104864755,1.3333333333333206,0.5110228156211929,247532.93014,-0.14415752433992468,920903.10644,0.1714070210219738,0.04283,165.0,4,0.001078,55,0.4,1.33325316013107,0.7569387508232416
ENJUSDT,1774010100000,0.02474909,support,REJECTED,-0.0021177702494943416,0.012972580436703574,0.04510526314486794,0.0036732663706018926,0.4545454545454612,0.4837761703909372,324332.46747,-0.8093280578570796,958701.30387,0.39793020012998587,0.01374,50.0,1,-0.078853,55,0.0,1.2189862015434174,0.7374599294296718
ENJUSDT,1774017900000,0.02576692,resistance,REJECTED,-0.02258724932159491,0.36522753731146773,0.6026692781647724,-0.005446559101032577,0.7499999999999973,0.49704412471731185,210175.65117,-0.17021686013441695,629187.2672,-0.0018848567181506488,0.04036,70.0,1,-0.13938,26,,,
ENJUSDT,1774028400000,0.02474909,resistance,REJECTED,0.004985547290286435,2.8270298024470426,0.2542718307104242,-0.004758728928066431,0.724137931034472,0.48043484931900365,166693.27161,0.14372809518839624,464546.75302,0.1682290589995904,0.02828,120.0,0,0.005944,55,0.0,1.1620946893696331,0.7134670487106017
ENJUSDT,1774052700000,0.02376944,resistance,REJECTED,-0.007523101649781715,2.478051169835088,0.23645205788479465,-0.0031538949083137926,0.38888888888889317,0.4871735574687514,176884.17646,-0.0769524277173752,387050.08108,0.19002426481595827,0.02608,145.0,10,-0.037019,72,-0.2,2.076279933364156,0.6139380530973451
ENJUSDT,1774085100000,0.02376944,support,REJECTED,-0.001391971913106444,1.2994835427942482,0.44829486603445284,0.004928132398929848,1.312500000000008,0.49107841552835135,172791.61843,0.23009343584675657,723431.45619,-0.03560147289187581,0.02608,335.0,12,-0.005105,72,0.2,1.270841324359772,0.8861123990336514
ENJUSDT,1774107300000,0.02376944,resistance,REJECTED,-0.005503941444268723,1.7642681614539772,0.31551899459895577,-0.006032425182126668,0.666666666666686,0.49303001361642623,204478.3756,-0.03093098870909694,457072.35775,0.04317569528246122,0.0265,245.0,7,-0.028965,72,,,
